Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,URL,Exerpt,Image
Intro to The 8-Point Grid System,intro-to-the-8-point-grid-system,5bef6bc51faec76e89056e67,5f088704c7a1217548bfa42e,Fri Jul 10 2020 15:19:32 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2020 15:19:32 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2020 15:19:32 GMT+0000 (Coordinated Universal Time),https://builttoadapt.io/intro-to-the-8-point-grid-system-d2573cde8632,"As a designer you’ve probably heard the term grid whether you’re designing a website, a magazine, or a mobile app. We have grids for all sorts of content arrangements. We use column grids to align content horizontally. Baseline grids to vertically align bodies of text.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5f0887047e612faa6f41a401_1*7uEQZ2OvfY4L3_du8Ms4zA.png
Product Design Exercises We Use At WeWork Interviews,product-design-exercises-we-use-at-wework-interviews,5bef6bc51faec76e89056e67,5e909c1c799f5a815292964a,Fri Apr 10 2020 16:17:32 GMT+0000 (Coordinated Universal Time),Fri Apr 10 2020 16:17:32 GMT+0000 (Coordinated Universal Time),Fri Apr 10 2020 16:17:32 GMT+0000 (Coordinated Universal Time),https://blog.prototypr.io/product-design-exercises-we-use-at-wework-interviews-2ee1f5a57319,"The design community is lucky to have so many great resources like Dribbble, Behance, Daily UI etc. These resources allow to see others visual work, show yours and get feedback.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5e909c1c2ceb671dd55543da_1*emPi30hasJ7VI-OBzWjjTg.jpeg
Psychology and product design,psychology-and-product-design,5bef6bc51faec76e89056e67,5bf0b445554fa7a93a6d9685,Sun Nov 18 2018 00:37:25 GMT+0000 (Coordinated Universal Time),Sun Nov 18 2018 00:37:25 GMT+0000 (Coordinated Universal Time),Sun Nov 18 2018 00:37:25 GMT+0000 (Coordinated Universal Time),https://uxplanet.org/psychology-and-product-design-dae4c4cff62c,"As product designers, we try to create products that are designed for humans. We try to solve their problems and create a better experience by making better understandability and discoverability in products we design.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf0b445554fa73d706d9684_1*BVxSXVXjvFNIOXFe_aUTaw.png
Should Designers Code?,should-designers-code,5bef6bc51faec76e89056e67,5bfd5f88cd67e8073dea981f,Tue Nov 27 2018 15:15:20 GMT+0000 (Coordinated Universal Time),Tue Nov 27 2018 15:15:20 GMT+0000 (Coordinated Universal Time),Tue Nov 27 2018 15:15:20 GMT+0000 (Coordinated Universal Time),https://medium.com/@MrAlanCooper/should-designers-code-f7b745b8cd03,"There’s a recurring debate in our industry over whether or not designers should write code. Some developer will pose the question on Twitter, then pundits, practitioners, and gurus answer it. Everyone has an opinion, tempers flare, then people agree to disagree, and the discussion subsides.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bfd5f88cd67e83feaea981e_1*M81kLCrddLXrfn7en_17og.jpeg
"Spacing, Grids and Layouts",spacing-grids-and-layouts,5bef6bc51faec76e89056e67,5f7787fb58af795273ece3cc,Fri Oct 02 2020 20:05:15 GMT+0000 (Coordinated Universal Time),Fri Oct 02 2020 20:05:15 GMT+0000 (Coordinated Universal Time),Fri Oct 02 2020 20:05:15 GMT+0000 (Coordinated Universal Time),https://www.designsystems.com/space-grids-and-layouts/,"The organization of space is key to every great design. Spatial systems, grids, and layouts provide rules that give your designs a consistent rhythm, constrain decision making, and help teams stay aligned. This foundational scaffolding is a requirement for all design systems.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5f7787fba919ee26d3e58e50_article_section_code_OG__4_.png
The best YouTube channels for designers and developers,the-best-youtube-channels-for-designers-and-developers,5bef6bc51faec76e89056e67,5bf300c2c342074daeff89ef,Mon Nov 19 2018 18:28:18 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:18 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:18 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/the-best-youtube-channels-for-designers-and-developers-eda97b38d46a,"I just recently realized how much time I spend on YouTube everyday. To be more precise, about 50 minutes every single day. About three years ago I started developing the habit of opening the YouTube Subscriptions page every day to check out new videos from the channels I had subscribed to.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf300c2c342073ebeff89ee_1*h9zOiHzWBnMYrwaUlNidbg.jpeg
The Golden Age of UX is Over,the-golden-age-of-ux-is-over,5bef6bc51faec76e89056e67,5bf300c4daf99e715eeb5bc8,Mon Nov 19 2018 18:28:20 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:20 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:20 GMT+0000 (Coordinated Universal Time),https://uxplanet.org/the-golden-age-of-ux-is-over-ac318099c5b9,"When I started AJ&Smart in 2011, UX Design was still so misunderstood that I spent the next 3 years just explaining to my clients (while also defining it to myself) what it actually was and why it was valuable.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf300c4daf99e178eeb5bc7_1*kcan-JexEz089eCaPHqGzQ.png
The Holloway Guide to Equity Compensation,the-holloway-guide-to-equity-compensation,5bef6bc51faec76e89056e67,5caf99362acb4756f4331ed2,Thu Apr 11 2019 19:44:54 GMT+0000 (Coordinated Universal Time),Thu Apr 11 2019 19:44:54 GMT+0000 (Coordinated Universal Time),Thu Apr 11 2019 19:44:54 GMT+0000 (Coordinated Universal Time),https://www.holloway.com/g/equity-compensation/,Equity compensation is the practice of granting partial ownership in a company in exchange for work.,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5caf99362acb47824a331ec8_guidecover-equity-compensation-7b2cfbe12d.png
The Power of Visioning,the-power-of-visioning,5bef6bc51faec76e89056e67,5e4ee267a143a990ce6c7d82,Thu Feb 20 2020 19:47:51 GMT+0000 (Coordinated Universal Time),Thu Feb 20 2020 19:47:51 GMT+0000 (Coordinated Universal Time),Thu Feb 20 2020 19:47:51 GMT+0000 (Coordinated Universal Time),https://design.google/library/youtube-visioning/,"Visioning allows us to both understand product usage, and the larger task of getting to know a new domain or industry.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5e4ee2671c72ab1ffebaf777_power-of-visioning_share_2x1.png
The Vandalisation of ‘UX’,the-vandalisation-of-ux,5bef6bc51faec76e89056e67,5d7fcf2451823d3dde16b51a,Mon Sep 16 2019 18:06:28 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2019 18:06:28 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2019 18:06:28 GMT+0000 (Coordinated Universal Time),https://medium.com/spotless-says/the-vandalisation-of-ux-f38058d9a497,"Etymologists have long been aware of the effect known as semantic drift — how the meanings of phrases can change over time. For example, mouse and bookmark now make sense as concepts in computers as well as their root meaning.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5d7fcf2451823d47be16b516_0*E-dX_RMKfTQvPXuc.jpeg
Things I (honestly) don’t want to see in your portfolio,things-i-honestly-don-t-want-to-see-in-your-portfolio,5bef6bc51faec76e89056e67,5bf039dd57f301c95ac64bba,Sat Nov 17 2018 15:55:09 GMT+0000 (Coordinated Universal Time),Sat Nov 17 2018 15:55:09 GMT+0000 (Coordinated Universal Time),Sat Nov 17 2018 15:55:09 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/things-i-honestly-dont-want-to-see-in-your-portfolio-3d3497666ca8,Tools change every few months. We might have different view of what the word “skill” means.,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf0392721f543432c0df735_1*FubSaef6gwnE4af7Cm0-7g.png
Understanding UX Competitor Analysis,understanding-ux-competitor-analysis,5bef6bc51faec76e89056e67,5bef779df5ad5bef4e804be3,Sat Nov 17 2018 02:06:21 GMT+0000 (Coordinated Universal Time),Sat Nov 17 2018 02:06:21 GMT+0000 (Coordinated Universal Time),Sat Nov 17 2018 02:06:21 GMT+0000 (Coordinated Universal Time),https://medium.com/@TwoTallTotems/understanding-ux-competitor-analysis-4cc555d8d7d8,Design isn’t just about the creative process. The important part of any project begins before any sketches are drawn. It starts with the research — the competitor analysis that guides every subsequent decision and helps shape the final product.,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bef779df5ad5b52d9804be2_1*_lDu37qNfS9YEq-CHmMi5A%402x.jpeg
UX Writing vs Copywriting,ux-writing-vs-copywriting,5bef6bc51faec76e89056e67,5bf300c52a9c237272fa7a9b,Mon Nov 19 2018 18:28:21 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:21 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:21 GMT+0000 (Coordinated Universal Time),https://blog.prototypr.io/ux-writing-vs-copywriting-558c98c4809c,"Traditionally, how things have typically progressed is that the design team would design a product and send it over to the the development team who would then build it.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf300c52a9c23d3f4fa7a9a_0*CmNjo_mqg4SXjsIh.jpeg
What I know after a decade in design,what-i-know-after-a-decade-in-design,5bef6bc51faec76e89056e67,5bf300c0aecca0464662df21,Mon Nov 19 2018 18:28:16 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:16 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:16 GMT+0000 (Coordinated Universal Time),https://blog.prototypr.io/advice-to-a-junior-designer-4216d6026c44,"2018 will be the year that marks my first decade as a designer. Wow… crazy. Sometimes I still feel like a junior designer, but when I look back on myself ten years ago, I can see just how much I’ve learned.  I want to share with you some of the things I’ve learned over the years.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf300c0aecca0725762df20_1*e-_8LoxmahWDgKWJiWB8TA.png
What it takes to be a Product Designer,what-it-takes-to-be-a-product-designer,5bef6bc51faec76e89056e67,5cc8e9251d62bf36f8ab7ea4,Wed May 01 2019 00:32:37 GMT+0000 (Coordinated Universal Time),Wed May 01 2019 00:32:37 GMT+0000 (Coordinated Universal Time),Wed May 01 2019 00:32:37 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/what-it-takes-to-be-a-product-designer-424a4151261e,"I analysed 30 different Product Designer roles from some of the most well-respected companies in the world. Why? There’s a common question that keeps popping up in the conversations that I’m having; what is a Product Designer? I think I’m one… but, maybe I’m not…?! Or maybe I am…",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5cc8e9251d62bf69e3ab7ea3_1*1MP9GPt97aIPjFICQeVpiw.png
What Your Engineering Team Wants in a UX Designer,what-your-engineering-team-wants-in-a-ux-designer,5bef6bc51faec76e89056e67,5bfc357ad7334c33a2b3ae92,Mon Nov 26 2018 18:03:38 GMT+0000 (Coordinated Universal Time),Mon Nov 26 2018 18:03:38 GMT+0000 (Coordinated Universal Time),Mon Nov 26 2018 18:03:38 GMT+0000 (Coordinated Universal Time),https://blog.prototypr.io/what-your-engineering-team-wants-in-a-ux-designer-72e24c893601,"Have you ever been around a group of creative types when the conversation turns to what coders don’t do and don’t understand? It happens more often and more casually than I’d like to admit. It’s nonsense, and I don’t stand for such talk in the name of shooting the breeze.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bfc357ad7334c10e2b3ae91_1*ZGXeBf_OaHlX1zGNtBBAmQ.jpeg
Why you should be writing UX case studies,why-you-should-be-writing-ux-case-studies,5bef6bc51faec76e89056e67,5bf300c3daf99e41cdeb5bc5,Mon Nov 19 2018 18:28:19 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:19 GMT+0000 (Coordinated Universal Time),Mon Nov 19 2018 18:28:19 GMT+0000 (Coordinated Universal Time),https://uxplanet.org/why-you-should-be-writing-ux-case-studies-6827a3b25a56,"Better design speaks for itself. Results are established in how well they communicate their core values to their users and in turn how successful the product is deemed to be. So having said this, it’s easy to forget the approach to reach such a result.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf300c3daf99e980eeb5bc4_1*Rt7ftk3_Ht23593P2K_fBA.gif
Your Body Text Is Too Small,your-body-text-is-too-small,5bef6bc51faec76e89056e67,5d94d563f7ca1339efb3948f,Wed Oct 02 2019 16:50:43 GMT+0000 (Coordinated Universal Time),Wed Oct 02 2019 16:50:43 GMT+0000 (Coordinated Universal Time),Wed Oct 02 2019 16:50:43 GMT+0000 (Coordinated Universal Time),https://blog.usejournal.com/your-body-text-is-too-small-5e02d36dc902,"Body text is the key component in communicating the main bulk of a message or story, and it’s probably the most important element on a website, even if people sometimes read just the headlines. The majority of websites are still anywhere in the range of 15–18px.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5d94d563f7ca1312b1b39477_1*igWE8xp0Ovql7HXUr50b-w.jpeg
